name,price,Aturan Pakai,uses,Dosis,Efek Samping,Golongan Produk,Indikasi Umum,Kemasan,Komposisi,Kontra Indikasi,Manufaktur,No. Registrasi,Perhatian
Cefixime 100 mg 10 Kapsul,Rp11.000 - Rp42.800,Dikonsumsi sebelum atau sesudah makan. Dapat diberikan bersama makanan untuk mengurangi rasa tidak nyaman pada saluran pencernaan.,"CEFIXIME 100 MG KAPSUL merupakakan obat generik yang mengandung Cefixime 100 mg per tablet. Cefixime adalah antibiotik golongan cephalosporin generasi ketiga. Cefixime merupakan antibiotik yang memiliki spektrum luas, aktif terhadap bakteri gram negatif mapun gram positif. Antibiotik ini digunakan untuk mengobati infeksi saluran kemih tanpa komplikasi, otitis media, faringiris dan tonsilitis, serta bronkitis akut dan kronis dengan eksaserbasi akut. Obat ini bekerja sebagai bakterisidal dengan mekanisme kerja obat dengan cara mengikat satu atau lebih penicillin-binding proteins (PBP) yang menghambat transpeptidasi tahap terakhir dari sintesis peptidoglikan di dinding sel bakteri, sehingga menghambat biosintesis dan mencegah pembentukan dinding sel yang mengakibatkan kematian sel bakteri. Dalam menggunakan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.","PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa dan anak-anak dengan berat badan sama dengan atau lebih dari 30 kg, dosis harian yang direkomendasikan adalah 50-100 (potensi) cefixime, diberikan per oral dua kali sehari. Untuk infeksi yang berat, dosis dapat ditingkatkan sampai 200 mg (potensi) diberikan dua kali sehari.","Syok, Hipersensitivitas, Hematologi, Hati, Ginjal, Saluran Cerna, Pernapasan, Perubahan flora bakteri, Defisiensi vitamin, Pengaruh terhadap tes laboratorium",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Infeksi saluran kemih tanpa komplikasi, otitis media, (radang rongga gendang telinga), faringitis dan tonsilitis, bronkhitis akut dan kronis serta eksaserbasi (kumatnya penyakit atau gejala penyakit secara mendadak) akut","Dus, 10 Strip @ 10 Kapsul",Cefixime 100 mg,Pasien dengan riwayat syok atau hipersensitif terhadap beberapa bahan dari obat ini.,Generic Manufacturer,BPOM: GKL2008519609A1* *) Obat ini merupakan obat Generik. Nomor Registrasi dapat berbeda sesuai dengan ketersediaan stock Apotek.,"HARUS DENGAN RESEP DOKTER. Hati-hati terhadap reaksi hipersensitif karena reaksi-reaksi seperti syok dapat terjadi. - Cefixime sebaiknya jangan diberikan kepada pasien yang masih dapat diobati dengan antibiotik lain. Jika perlu, harus diberikan dengan hati-hati. - Pasien dengan riwayat hipersensitif terhadap bahan-bahan dalam sediaan atau dengan antibiotik cephalosporin lainnya. - Cefixime harus diberikan dengan hati-hati kepada pasien-pasien berikut: 1. Pasien dengan riwayat hipersensitif terhadap penicillin. 2. Pasien dengan riwayat personal atau familial terhadap berbagai bentuk alergi seperti asma bronkial, ruam, dan urtikaria. 3. Pasien dengan gangguan fungsi ginjal berat. 4. Pasien dengan nutrisi oal yang rendah, yang sedang mendapatkan nutrisi parenteral, pasien usia lanjut atau yang dalam keadaan lemah. Pasien harus diamati karena dapat terjadi gejala-gejala defisiensi vitamin K. - Penggunaan selama kehamilan: Keamanan pemakaian cefixime selama masa kehamilan belum dibuktikan. Sebaiknya cefixime hanya diberikan bila manfaat terapeutik lebih besar dibandingkan risiko yang mungkin terjadi. - Penggunaan pada wanita menyusui: Belum diketahui apakah cefixime diekskresikan melalui air susu ibu. Oleh karena itu, sebaiknya tidak menyusui selama terapi dengan obat ini. - Penggunaan pada anak-anak: Keamanan dan efektivitas penggunaan cefixime pada anak-anak dengan usia kurang dari 6 bulan belum dibuktikan (termasuk bayi baru lahir dan prematur)."
Nebacetin Salep 5 g,Rp27.300 - Rp33.000,Salep dioleskan pada area yang sakit/terinfeksi,"NEBACETIN SALEP merupakan obat yang di gunakan untuk pengobatan penyakit kulit dan mukosa terutama yang disebabkan oleh infeksi bakteri. Nebacetin mengandung Neomycin dan bacitracin. Neomycin adalah antibiotik golongan aminoglikosida yang digunakan untuk mengobati infeksi-infeksi yang disebabkan terutama oleh bakteri gram negatif. neomycin bekerja dengan cara mengikat secara reversibel terhadap sub unit 30s dari ribosom bakteri sehingga menghambat sintesa protein yang pada akhirnya menghambat pertumbuhan bakteri itu. bacitracin adalah antibiotik yang dihasilkan dari organisme kelas licheniformis bacillus subtilis var tracy. Obat ini mempunyai spektrum luas, aktif terhadap bakteri gram negatif maupun positif. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.",PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Oleskan salep beberapa kali sehari,"Reaksi hipersensitivitas, edema, gatal pada palpebra, eritema pada konjungtiva (hentikan pemakaian). Sensitasi lokal",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Infeksi bakteri permukaan kulit, seperti impetigo, bisul varises, tekanan luka, borok trofik dan membakar.","Dus, Tube @ 5 g","Per gram : Neomycin sulfate 5 mg, Bacitracin 250 IU",Hipersensitif,Pharos,BPOM: DKL7221628830A1,HARUS DENGAN RESEP DOKTER. Pertumbuhan berlebihan dari organisme yang tidak peka Kategori Kehamilan : B
Sebamed Diaper Rash Cream 100 ml,Rp159.000,"usap dengan lembut pada pantat bayi saat mengganti popok, atau pada lipatan kulit","Sebamed Baby Diapers Rash Cream merupakan cream yang efektif untuk mengatasi jenis alergi atau ruam popok. Sebamed Baby Diapers Rash Cream juga dapat digunakan untuk menjaga kulit. Sebamed Baby Diapers Rash Cream mengandung lipid komplex dengan Squalane dan Lecithin, Titanium Dioxide, dan Honey wax. Titanium Dioxide dan paraffin membantu membangun perlindungan kulit dari konstituen agresif kotoran badan, dan Panthenol membantu menyembuhkan luka dan meregenerasi kulit.",gunakan secukupnya,-,Produk Konsumen,mengatasi ruam popok pada bayi sekaligus menjaga kulit,tube 100 g,"Squalane, Lechitin, Titanium Dioxide, Honey Wax",-,Sebapharma,BPOM: NC16110102964,"agar ruam popok segera pulih, biar area sekitar pantat bayi tetap terbuka tanpa menggunakan popok terlebih dahulu selama mungkin, dan hanya digunakan untuk pemakaian luar."
Nufacort Cream 5 g,Rp6.200 - Rp8.600,Oleskan tipis pada bagian yang sakit,"Nufacort adalah sediaan krim dengan kandungan zat aktif hydrocortisone acetate dan neomycin sulfate. Nufacort tergolong dalam obat kortikosteroid topikal. Hidrokortison adalah zat alami (hormon kortikosteroid) yang dibuat oleh kelenjar adrenal. Nufacort digunakan untuk mengobati kondisi seperti radang sendi, sistem kekebalan, kondisi kulit dan mata, masalah pernapasan, kanker, dan alergi parah. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.",PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Oleskan 3-4 kali sehari,"Kulit yang sensitif, ototoksik, nefrotoksik, ruam kulit, iritasi, folikulitis, hipertrikosis, dermatitis perioral, hipopigmentasi, infeksi sekunder, atrofi kulit, jerawat, maserasi kulit, striae, miliaria",Obat Keras (Merah),Meringankan nyeri inflamasi dari dermatosis yang responsif terhadap kortikosteroid dengan disertai infeksi sekunder,"Dus, Tube @ 5 g","Per gram : Hydrocortisone acetate 10 mg, neomycin sulfate 5 mg","Hipersensitif, gangguan kulit yang disebabkan TBC, jamur dan virus (herpes simplex, vaccinia, varicella), perforasi telinga. Hipersensitivitas",Nufarindo,BPOM: DKL9618205729A1,HARUS DENGAN RESEP DOKTER. Alergi terhadap komponen obat
Vaselin Lip Therapy Original Stick 4.8 G,Rp27.500 - Rp41.300,Dioleskan pada bibir sesuai kebutuhan,VASELIN LIP THERAPY ORIGINAL merupakan produk perawatan bibir yang mengandung Petroleum Jelly. Vaseline Lip Therapy digunakan untuk melembapkan dan menjaga bibir tetap sehat. Gunakan setiap hari untuk mengurangi bibir kering dan pecah-pecah.,,,Produk Konsumen,Untuk mengurangi bibir kering dan pecah-pecah serta menjaga kesehatan bibir.,"Dus, Tabung @ 4.8 G",,,Unirama Sukses Internasional,BPOM: NA26181309958,
Ezocon 40 mg 10 Tablet,Rp229.300 - Rp239.000,,Ezocon adalah obat yang memiliki kandungan Esomeprazole 20 mg. Esomeprazole termasuk obat golongan penghambat pompa proton/Proton Pump Inhibitors (PPI). Esomeprazole memilki efek menurunkan produksi asam lambung. Obat ini digunakan untuk Gastroesophageal Reflux Disease (GERD) dan kondisi lainnya yang diakibatkan oleh kenaikan asam lambung seperti refluks esofagal erosif. Obat ini juga digunakan untuk ulkus peptikum yang disebabkan H.Pylori dalam terapi kombinasi dan yang diakibatkan konsumsi OAINS. Esomeprazole adalah S-isomer dari omeprazole yang bekerja dengan menghambat sistem enzim adenosin trifosfatase hidrogen-kalium (pompa proton) dari sel parietal lambung. Penghambatan ini menyebabkan penghambatan sekresi asam lambung. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.,0,,Obat Keras (Merah),,"Dus, 3 strip @ 10 tablet salut selaput",Esomeprazole 40 mg,,Etercon Pharma,BPOM: DKL1815720515B1,
Daktarin Cream 10 g,Rp46.100 - Rp54.700,Oleskan krim setelah bagian yang sakit dibersihkan dan dikeringkan.,"DAKTARIN CREAM merupakan sediaan topikal atau obat oles kulit yang mengandung zat aktif Miconazole Nitrate. Krim ini digunakan untuk mengobati infeksi kulit yang disebabkan oleh dermatofit atau ragi, dan jamur lainnya. Miconazole bekerja dengan menghancurkan bakteri dan jamur penyebab infeksi. Dengan demikian, maka obat ini digunakan untuk mengatasi penyakit infeksi kulit yang diakibatkan oleh berbagai jenis jamur serta infeksi yang disebabkan karena bakteri gram positif.","Oleskan 2 kali sehari pada bagian kulit yang terinfeksi selama 2-6 minggu, tergantung berat ringan penyakit. Penggunaan krim harus dilanjutkan setidaknya 7 hari setelah hilangnya semua tanda-tanda infeksi hilang dengan tujuan untuk mencegah infeksi kembali kambuh.",Efek samping yang mungkin terjadi selama penggunaan obat ini adalah: - Reaksi alergi atau hipersensitif - Angioedema - Urtikaria - Dermatitis kontak - Eritema atau kemerahan - Pruritus - Iritasi,Obat Bebas Terbatas (Biru),"Krim yang digunakan untuk mengobati penyakit kulit yang diakibatkan oleh berbagai jenis jamur (panu, penyakit kulit pada sela-sela jari, selangkangan, lipatan kulit, badan) dan infeksi jamur yang sudah disertai infeksi sekunder bakteri gram positif.","Dus, Tube @ 10 gram",Setiap gram krim mengandung 20 mg mikonazol nitrat.,"Penggunaan krim ini tidak dianjurkan untuk individu dengan hipersensitif atau alergi terhadap mikonazol atau mikonazol nitrat, atau turunan imidazol lain.",Taisho Pharmaceutical,BPOM: DTL1124401729A1,Hipersensitif terhadap ketoconazole. Tidak untuk digunakan pada mata. Kategori Kehamilan : Kategori C: Mungkin berisiko. Obat digunakan dengan hati-hati apabila besarnya manfaat yang diperoleh melebihi besarnya risiko terhadap janin. Penelitian pada hewan uji menunjukkan risiko terhadap janin dan belum terdapat penelitian langsung terhadap wanita hamil.
Prolic 300 mg 10 Kapsul,Rp102.700 - Rp116.100,Sesudah makan. Telan utuh dengan segelas air & dalam posisi tegak.,"PROLIC 300 MG 10 KAPSUL mengandung zat aktif Clindamycin, antibiotik golongan lincosamida semisintetik yang bersifat bakteriostatik. Antibiotika ini digunakan untuk mengatasi infeksi serius yang disebabkan oleh bakteri anaerob dan aerob gram yang rentan seperti emfisema, pneumonitis anaerob, abses paru, infeksi kulit dan jaringan lunak yang serius, septisemia, infeksi intra abdomen seperti peritonitis dan abses intra abdomen (biasanya berasal dari organisme anaerob yang sudah ada di saluran pencernaan normal), infeksi panggul perempuan dan saluran genital seperti endrometritis, abses tubo-ovarium nongococcal, selulitis pelvis dan infeksi kista vagina pascaoperasi. Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.",PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. Dewasa : Infeksi serius : 150 - 300 mg tiap 6 jam. Infeksi lebih serius : 300 - 450 mg tiap 6 jam. Anak : Infeksi serius : 8 - 16 mg/kg BB/hari terbagi dalam 3 - 4 dosis. Infeksi lebih serius : 16-20 mg/kgBB/hari terbagi dalam 3 - 4 dosis.,"Gangguan saluran pencernaan, reaksi hipersensitivitas, sakit kuning, perubahan hematopoietik",Obat Keras (Merah),"INFORMASI OBAT INI HANYA UNTUK KALANGAN MEDIS. Infeksi berat karena bakteri anaerob dan aerob yang sensitif disebabkan oleh organisme yang peka antara lain strep, pneumokokus dan staph.","Dus, 10 Strip @ 10 Kapsul",Clindamycin 300 mg,Hipersensitivitas. Pengobatan meningitis (radang selaput otak),Sanbe Farma,BPOM: DKL9522213901C1,"HARUS DENGAN RESEP DOKTER. Riwayat penyakit Gl, seperti kolitis, penyakit ginjal dan atau hati, superinfeksi dan pertumbuhan jamur berlebih, hamil, lanjut usia."
Unihealth Calway-V Junior Sirup 200 ml,Rp179.000,Sesudah makan,"Calway-V Junior mengandung multivitamin dan kalsium dosis tinggi yang memberi manfaat ganda, yaitu menjaga daya tahan tubuh sekaligus memaksimalkan pertumbuhan dan kepadatan tulang.",Untuk pertumbuhan tinggi badan anak usia 1-5 tahun: 1 x sehari 1 seloki (15 ml). Usia 6-12 tahun: 2 x sehari 1 sloki (15 ml). Usia >12 Tahun: 3 x sehari 1 sloki (15 ml).,,Vitamin & Suplemen,"Membantu memenuhi kebutuhan vitamin pada masa pertumbuhan, membantu memperbaiki nafsu makan, membantu pertumbuhan tulang dan gigi yang kuat.","Dus, Botol Plastik @ 200 ml",,,Soho Industri Pharmasi,BPOM: SD191655641,
Sebamed Baby Lotion 100 ml,Rp114.100 - Rp234.800,Gunakan setelah mandi atau sebelum menggunakan popok di area lipatan kulit.,"Sebamed Baby Lotion merupakan Lotion Bayi yang dapat menutrisi dan melembabkan kulit bayi. Diformulasikan secara khusus dengan kandungan Glycerin, Propylene Glycol dan Sorbitol yang dapat meningkatkan keseimbangan Hydrolipid kulit. Mengandung Allantoin yang dapat menjaga kulit bayi tetap lembut dan kenyal.",,,Produk Konsumen,Lotion untuk bayi dengan kandungan emolient yang mudah diserap dengan 7% lipids. Lotion ini dapat menjaga kulit bayi lembab. lembut dan kenyal dan tidak meninggalkan kesan berminyak.,"Dus, Botol 100 ml","Mengandung komponen zat aktif : Sorbitol, Chammomile, dan Allantoin",,,BPOM: NC16110102963,Baby Lotion digunakan untuk moisturizer. Sementara Baby Care Cream digunakan untuk mempercepat penyembuhan gejala-gejala penyakit kulit/ alergi pada kulit tubuh.
La Roche Posay Spot Scan Acne Fighter Essentials Package,Rp397.700 - Rp424.000,"La Roche Posay Effaclar Purifying Foaming Gel: 1. Tuangkan gel di telapak tangan yang sudah dibasahi. 2. Aplikasikan ke wajah dengan pijatan lembut. 3. Bilas hingga bersih. La Roche Posay Effaclar Duo+: Gunakan pada pagi dan malam hari, oleskan di seluruh wajah yang sudah dibersihkan sebelumnya","La Roche Posay Spot Scan Acne Fighter Essentials merupakan paket bundle yang terdiri dari: 1. La Roche Posay Effaclar Purifying Foaming Gel 50 ml 2. La Roche Posay Effaclar Duo+ 15 ml Free Gifts: 1. La Roche Posay Pouch 2. La Roche Posay Effaclar Purifying Foaming Gel 7 ml 3 Sachet 3. La Roche Posay Effaclar Duo+ 2 ml 3 Sachet La Roche Posay Effaclar Purifying Foaming Gel merupakan gel lembut yang dapat membersihkan komedo, mengurangi minyak berlebih & mengangkat kotoran tanpa membuat kulit kering, kulit wajah menjadi bersih dan segar. No alcohol. non-comedogenic, hypoallergenic. Diformulasikan secara khusus dan sesuai untuk kulit berminyak dan mudah berjerawat. Cocok untuk kulit sensitif. Dermatologist & Ophtalmologist tested. La Roche Posay Effaclar Duo+ merupakan moisturizer untuk kulit berminyak dan mudah berjerawat. Dalam 12 jam melawan jerawat, menyamarkan kemerahan & tekstur kulit tidak merata. Telah diuji di bawah pengawasan dermatologis pada kulit berminyak dan mudah berjerawat, intensif melawan jerawat membandel dan noda akibat jerawat. Allergy tested. Non-comedogenic. Cocok untuk kulit sensitif. Dermatologist tested.",,,Produk Konsumen,"Bundle lengkap untuk kulit acne prone skin. Terdiri dari: - La Roche Posay Effaclar Purifying Foaming Gel yang secara lembut dapat membersihkan komedo, mengangkat kotoran dan minyak berlebih, kulit wajah menjadi bersih dan segar. - La Roche Posay Effaclar Duo+ moisturizer yang dalam 12 jam* dapat melawan jerawat, menyamarkan kemerahan dan tekstur kulit tidak merata.",La Roche Posay Spot Scan Acne Fighter Essentials Package terdiri dari: - La Roche Posay Effaclar Purifying Foaming Gel 50 ml - La Roche Posay Effaclar Duo+ 15 ml Free Gifts: - La Roche Posay Pouch - La Roche Posay Effaclar Purifying Foaming Gel 7ml 3 Sachet - La Roche Posay Effaclar Duo+ 2ml 3 Sachet,La Roche Posay Effaclar Purifying Foaming Gel: - Thermal Water La Roche Posay Effaclar Duo+: - Aqua Posae - Niacinamide - LHA,,L'Oreal Indonesia,1. La Roche Posay Effaclar Purifying Foaming Gel : BPOM: NC14211200009 2. La Roche Posay Effaclar Duo+ : BPOM: NC14210100012,
La Roche Posay Effaclar Purifying Foaming Gel 50 ml,Rp190.000 - Rp206.400,1. Tuangkan gel di telapak tangan yang sudah dibasahi. 2. Aplikasikan ke wajah dengan pijatan lembut. 3. Bilas hingga bersih.,"La Roche Posay Effaclar Purifying Foaming Gel dengan lembut membersihkan komedo, mengurangi minyak berlebih & mengangkat kotoran tanpa membuat kulit kering, kulit wajah menjadi bersih dan segar. No alcohol. non-comedogenic, hypoallergenic. Diformulasikan secara khusus dan sesuai untuk kulit berminyak dan mudah berjerawat. Cocok untuk kulit sensitif. Dermatologist & Ophtalmologist tested",,,Produk Konsumen,"Pembersih wajah dengan tekstur foaming gel yang lembut membersihkan kotoran, komedo dan sebum berlebih. Mengurangi kilap di wajah. Membuat kulit terasa lembut dan segar. Cocok untuk kulit berminyak, sensitif, dan berjerawat.",Tube @ 50 ml,"Thermal Water: Melindungi dan menenangkan kulit sensitif, mudah iritasi dan kemerahan.",,L'Oreal Indonesia,BPOM: NC14211200009,Masa simpan skincare setelah dibuka : 6 bulan
Kondom Sutra OK Isi 24,Rp79.100,Digunakan pada kelamin pria saat berhubungan intim,KONDOM SUTRA OK ISI 24 merupakan alat kontrasepsi dalam bentuk kondom yang dilengkapi dengan pelumas khusus untuk menambah stamina pria saat berhubungan.,Sesuai kebutuhan. Digunakan saat berhubungan intim.,,Alat Kesehatan & Medis Habis Pakai,Alat kontrasepsi,Dus isi 24,,,DKT International,Kemenkes RI: AKL21104512098,
Pil Kita 2 Kaplet,Rp1.400 - Rp3.600,"diminum pada malam hari, sesudah makan","PIL KITA merupakan kaplet herbal yang berkhasiat untuk membantu menyegarkan badan dan memelihara kesehatan, memperbaiki nafsu makan, meredakan pegal linu, nyeri akibat encok, dan meredakan sakit pinggang.",1 tablet perhari,reaksi alergi,Herbal,"Berkhasiat membantu menyegarkan badan , memelihara kesehatan, memperbaiki nafsu makan, meredakan pegal linu, encok, dan sakit pinggang.","Dus, 50 Catch Cover @ Strip 2 tablet","Retrofracti fructus 245 mg, zingeberis zerumbeti rhizoma 140 mg, curcuma rhizoma 105 mg, curcuma aeruginosae rhizoma 35 mg, kaemferiae rhizoma 35 mg",Hipersensitif,Marguna Tarulata Apk Farma,BPOM: TR152585141,
Trichostatic Ovula,Rp13.700 - Rp16.400,"Malam menjelang tidur, dimasukkan kedalam vagina",TRICHOSTATIC OVULA 500 MG adalah obat yang digunakan untuk mengobati beberapa jenis infeksi yang disebabkan oleh bakteri anaerob dan protozoa seperti uretritis dan vaginitis karena Trichomonas vaginalis. Dalam penggunaan obat ini HARUS SESUAI PETUNJUK DOKTER. Pembelian obat ini memerlukan edukasi terkait penggunaan atau pengonsumsian obat yang tepat dan aman yang akan dikenakan biaya.,"PENGGUNAAN OBAT INI HARUS SESUAI DENGAN PETUNJUK DOKTER. 1 ovula per hari, digunakan selama 7-10 hari, pada malam hari sebelum tidur.",Iritasi lokal,Obat Keras (Merah),Infeksi Vagina campuran : Trichomonas Vaginalis dan Candida Albicans.,"Dus, 1 Strip x 6 ovula",Metronidazole 500 mg Nystatin 100.000 IU,Hipersensitivitas,Pharos,BPOM: DKL9821621150A1,HARUS DENGAN RESEP DOKTER. Hipersensitif
Flimeal Coklat Susu 12 Sachet,Rp228.900 - Rp240.900,,"Flimeal adalah minuman Pengganti Makanan (Meal Replacement) yang sudah diformulasikan secara detail untuk memastikan semua kandunganya berkualitas tinggi, khusus untuk Anda yang ingin mempertahankan atau menurunkan berat badan. Mengandung bahan Alami Tinggi Protein (30%) dan Serat (15%) seperti kacang-kacangan, kedelai isolat, dan chia seed, Flimeal berfungsi sebagai minuman pengganti sarapan untuk memenuhi kebutuhan nutrisi serta energi harian Anda tanpa berpengaruh terhadap peningkatan berat badan Anda.",1 atau 2 sachet Flimeal,,Pangan Olahan Diet Khusus,Sebagai minuman Pengganti Makanan (Meal Replacement) untuk Anda yang ingin mempertahankan atau menurunkan berat badan.,"Dus, 12 Sachet @ 50 g","Protein Kedelai Isolate Mengandung 40% protein dan 35% karbohidrat larut (sukrosa, stachyose, rafinosa), karbohidrat tidak larut (serat makanan), serta 90% protein lebih tinggi dibanding susu sapi, kedelai isolat tepat bagi Anda yang sedang menjaga berat badan namun alergi terhadap susu sapi, karena kedelai isolat tidak mengandung zat alergen. Beras Coklat Beras coklat mengandung serat, GABA (aminobutyric acid), Asam amino esensial Lysine, antioksidan, potasium, riboflavin (vitamin B2), folat, zat besi, kalsium, selenium, dan folat. Kandungan serat tersebut lebih lambat dicerna tubuh sehingga membuat rasa kenyang lebih tahan lama. Chia Seed Mengandung protein sebanyak 15-25%, lemak 30-33%, karbohidrat 26-41%, serat 18-30%, mineral 4-5%, dan asam lemak omega 3 (asam linolenat) sebesar 17,83%. Biji chia mampu membentuk gum melalui proses hidrasi di dalam pencernaan untuk mengurai karbohidrat menjadi gula yang diperlukan sehingga terciptanya rasa kenyang lebih lama. Selain itu, chia seed juga bermanfaat untuk menurunkan berat badan bagi penderita obesitas. Bubuk flaxseed oil Flaxseed oil dapat menurunkan insulin dan meningkatkan kapasitas antioksidan layaknya minyak ikan atau fish oil. Minyak sehat yang berasal dari tumbuhan ini tidak ada berbau amis yang mengganggu seperti minyak ikan. Flaxseed oil mengandung asam lemak omega-3, protein, dan serat. Komponen fenolat, kalsium dan magnesium yang juga bermanfaat bagi tubuh untuk memperlancar pembuluh darah.",,,BPOM: MD 267031220523,
Femmy Vitamin D3 1000 IU 10 Tablet,Rp28.000,Sesudah atau sebelum makan.,"Femmy Vitamin D3 1000 IU merupakan suplemen kesehatan yang untuk memenuhi kebutuhan vitamin D dengan cepat pada kondisi tertentu, seperti lanjut usia, risiko tinggi atau penyakit infeksi, penderita penyakit autoimun, dan ibu hamil atau menyusui (atas konsultasi dokter).",1 kali sehari 1 tablet.,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi pada obat ini yakni: Hiperkalsemia dan Hiperkalsiuria ( dalam asupan berlebih )",Vitamin & Suplemen,Suplementasi vitamin D3.,"Dus, 1 strip @ 10 tablet salut selaput",Tiap tablet mengandung : Vitamin D3 1000 IU,"Penderita dengan hipersensitivitas dengan vitamin D3 dan analognya atau dengan komponen lain dalam formula, hiperkalsemia dan hiperkalsiuria, kalsium nefrolitiasis, nefrokalsinosis, hipervitaminosis D, Kerusakan ginjal berat dan gagal ginjal",Bintang Toedjoe,BPOM: SD211501891,Periksa kadar Vitamin D darah sesudah penggunaan 6 (enam) bulan atau lebih. Konsultasikan dengan dokter untuk penggunaan pada ibu hamil dan menyusui. Hentikan penggunaan bila terjadi gejala alergi. Konsumsi kalsium sesuai Angka Kecukupan Gizi (AKG) untuk menghindari hiperkalsemia. Belum terdapat data keamanan terkait penggunaan obat ini pada wanita hamil dan/atau menyusui. Konsultasikan kepada dokter apabila Anda sedang hamil dan/atau menyusui.
Intunal F 4 Tablet,Rp3.100 - Rp4.800,Obat ini sebaiknya diberikan sesudah makan.,"INTUNAL F TABLET merupakan obat yang mengandung Pracetamol yang bekerja dengan menurunkan demam dan pereda nyeri, Phenylpropanolamine HCl yang memilki aktivitas sebagai dekongestan untuk meredakan hidung tersumbat, Dexchlorpheniramine Maleate yang berperan sebagai antihistamin atau anti alergi. Selain itu, obat ini juga mengandung zat aktif Dextromethorphan sebagai antitusif untuk meredakan batuk dan Gliceryl guaiacolate yang digunakan sebagai ekspektoran atau peluruh dahak. Dengan demikian, maka obat ini dapat digunakan untuk meringankan gejala flu yang disertai demam dan batuk berdahak.","Dewasa: 1 tablet, diberikan 3 kali sehari",,,,,,,,,
Lactacyd Odor Fresh 60 ml,Rp24.500 - Rp34.000,"Tuangkan secukupnya ke telapak tangan dan bersihkan area V kemudian bilas hingga bersih. Untuk hasil yang optimal, gunakan 2x sehari.",LACTACYD ODOR FRESH merupakan sabun pembersih kewanitaan yang terbuat dari ekstrak susu dan 9 herbal yang menyegarkan. Memiliki pH yang sesuai dengan kondisi asam alami daerah kewanitaan Anda,,,Produk Konsumen,#NAME?,Botol @ 60 ml,"Purified Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Sodium Chloride, 120-PEG Methyl Glucose Diolate, Whey Filtrate, Sodium Benzoate, 2-Phenoxyethanol, Perfume, Styrene/Acrylates Copolymer/ Coco- Glucoside, Lactic Acid, Ethylhexylglycerin, Benzoic Acid, Polysorbate 80/Citrus Aurantifolia (Lime) Juice/Rosmarinus Officinalis (Rosemary) Leaf Oil / Azadirachta Indica Leaf Extract/Salvia Officinalis (Sage) Oil/Aloe Barbadensis Leaf Juice Powder/Thymus Zygis Oil/Vetiveria Zizanoides Root Oil, Piper Betle Leaf Oil, Tocopherol, Propylene Glycol, PEG-40 Hydrogenated Castor oil/Trideceth-9/ Caprylyl Glycol/1,2 Hexanediol/Phenethyl Alcohol/Rosa Damascena Flower Oil.",,Aventis Pharma,BPOM: NA54201600002,Kocok dahulu sebelum digunakan
